run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
19,direct,123,64,5.5,3000.0,2.5,4.0,direct_clustering_sweep,,,0.640625,0.6609334383123375
26,direct,123,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.46875,0.08032768446310738
26,direct,123,64,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.46875,0.08032768446310738
8,direct,123,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
8,direct,123,64,3.0,3000.0,4.0,1.0,direct_clustering_sweep,,,0.0,0.0
181,direct,789,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.984375,0.9796072035592881
181,direct,789,128,3.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.984375,0.9796072035592881
175,direct,789,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
175,direct,789,64,10.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
21,direct,123,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
21,direct,123,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
75,direct,456,64,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.00015309438112377525
75,direct,456,64,3.0,3000.0,1.5,4.0,direct_clustering_sweep,,,0.0,0.00015309438112377525
81,direct,456,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.00020620875824835033
81,direct,456,64,3.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.015625,0.00020620875824835033
121,direct,456,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.874625074985003e-05
121,direct,456,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.874625074985003e-05
